DOCID	CLASE	NUM-TERMINOS	TERMINOS[termino/peso]
3	money-fx	49	addition/0.102383 afternoon/0.158492 also/0.043584 assistance/0.105391 band/0.409696 bank/0.17733 bills/0.217602 bought/0.092993 brings/0.130438 central/0.080747 compares/0.112737 comprising/0.158492 england/0.102383 far/0.102383 forecast/0.083302 given/0.091101 help/0.166605 made/0.066283 market/0.103789 mln/0.067391 money/0.086143 one/0.040139 outright/0.140792 pct/0.07983 provided/0.102383 purchases/0.092993 reuter/0.000052 revised/0.095037 s/0.027045 said/0.012085 session/0.123091 shortage/0.108801 stg/0.36184 themoney/0.140792 today/0.058088 total/0.05616 treasury/0.097259 two/0.108403 uk/0.079559 10/0.162972 120/0.123091 13/0.128585 16/0.126093 315/0.158492 437/0.316984 450/0.140792 461/0.158492 7/0.140792 8/0.102383
13	trade	110	added/0.042619 admit/0.102966 also/0.028315 article/0.08474 behaviour/0.102966 better/0.063185 bilateral/0.079968 business/0.042619 businessmen/0.091467 called/0.055963 calls/0.079968 change/0.055015 chen/0.102966 china/0.21515 chinese/0.254221 coincide/0.091467 commercial/0.056969 congress/0.056969 control/0.060414 counsellor/0.102966 countries/0.04547 curbs/0.236438 date/0.063185 deal/0.059184 deficits/0.079968 demands/0.091467 despite/0.061742 difficulties/0.079968 discard/0.102966 ease/0.08474 easing/0.091467 editorial/0.205932 embassy/0.205932 expand/0.068468 exports/0.147707 extremely/0.205932 facilities/0.08474 favourable/0.182934 figures/0.049565 fulfilling/0.102966 full/0.050243 generalised/0.102966 george/0.079968 give/0.060414 goods/0.060414 gsp/0.102966 help/0.054118 high/0.047685 important/0.073241 imports/0.047103 inaccurate/0.102966 influences/0.102966 international/0.039814 kinds/0.102966 last/0.029859 laws/0.08474 legislation/0.063185 limit/0.070684 market/0.033714 named/0.076266 needed/0.068468 newspaper/0.091467 normal/0.076266 official/0.043983 paper/0.070684 peking/0.102966 persuade/0.102966 potential/0.061742 preference/0.102966 prejudice/0.102966 preventing/0.102966 printed/0.102966 protectionist/0.08474 provide/0.056969 published/0.08474 quickly/0.08474 recent/0.046541 reduce/0.053267 replied/0.079968 restrictions/0.206713 reuter/0.000033 s/0.03514 said/0.020294 secretary/0.064767 shibiao/0.102966 showing/0.091467 shultz/0.102966 sides/0.076266 state/0.04547 states/0.052458 status/0.076266 still/0.054118 strict/0.08474 system/0.054118 tariff/0.091467 technology/0.167419 today/0.037738 toremove/0.102966 trade/0.117332 trading/0.055963 transfer/0.079968 treatment/0.091467 two/0.027244 united/0.049565 us/0.10303 visit/0.079968 washington/0.064767 years/0.093081 13/0.041768 15/0.040959
16	coffee	143	added/0.10897 already/0.059756 arap/0.101845 back/0.057408 balance/0.108833 barrel/0.06579 belt/0.101845 billion/0.032849 boom/0.083818 budget/0.124995 capital/0.105375 cents/0.067723 changes/0.062498 cheap/0.101845 clear/0.075436 coffee/0.114816 compared/0.041313 country/0.055354 coupled/0.090471 crept/0.101845 crude/0.06107 daniel/0.090471 debts/0.158194 decline/0.051124 deficit/0.119513 development/0.051887 difficult/0.128123 discipline/0.101845 dlrs/0.036255 domestic/0.050394 early/0.045496 economic/0.051887 economy/0.112698 encouraging/0.090471 entering/0.090471 exchange/0.087961 expect/0.05854 expenditure/0.101845 exporter/0.101845 external/0.075436 faces/0.090471 factors/0.119513 far/0.06579 favour/0.101845 fell/0.087009 finance/0.107058 first/0.041729 five/0.03466 flow/0.083818 fordifficult/0.101845 foreign/0.123466 frugal/0.101845 general/0.054416 government/0.04447 growth/0.049696 heading/0.083818 high/0.047166 history/0.101845 house/0.055354 immediate/0.075436 imperative/0.101845 increase/0.043505 indication/0.101845 inflation/0.062498 january/0.036088 kenya/0.167636 kenyan/0.20369 last/0.076345 lead/0.062498 led/0.06579 less/0.050394 london/0.06107 longer/0.079097 made/0.042593 main/0.067723 maintain/0.075436 members/0.06107 moi/0.263266 must/0.055354 necessary/0.075436 needs/0.075436 net/0.0193 oil/0.082627 opening/0.069914 ordinary/0.090471 parliament/0.083818 payments/0.112698 pct/0.065923 peak/0.075436 people/0.079097 phase/0.083818 pound/0.090471 president/0.118996 prevent/0.079097 price/0.078762 prices/0.037983 problems/0.059756 produced/0.072444 raise/0.069914 rate/0.043042 regards/0.090471 rely/0.101845 reserves/0.054416 rest/0.083818 result/0.055354 reuter/0.000033 s/0.034757 said/0.025796 satisfying/0.101845 savings/0.064062 says/0.062498 servicing/0.090471 shilling/0.101845 since/0.047763 slipped/0.083818 source/0.075436 sources/0.051887 speech/0.083818 spending/0.072444 state/0.044975 strict/0.083818 surplus/0.057408 swinging/0.101845 take/0.055354 tighten/0.090471 time/0.04398 times/0.079097 today/0.037327 two/0.026948 wananchi/0.101845 will/0.043694 world/0.043042 year/0.042545 10/0.040513 10.7/0.072444 18/0.050394 1985/0.064261 1986/0.040136 2.14/0.101845 27/0.049696 4.1/0.090471 5.6/0.090471 94/0.090471
30	grain	30	authority/0.171868 barley/0.171868 bids/0.154296 britishintervention/0.232038 cereals/0.171868 details/0.136145 feed/0.18021 grown/0.206124 hgca/0.206124 home/0.387468 intervention/0.159289 market/0.15195 price/0.089723 quantity/0.232038 reported/0.101318 requests/0.232038 reuter/0.000075 s/0.039595 said/0.017692 small/0.149893 sold/0.226448 submitted/0.232038 tender/0.130795 today/0.085043 tonnes/0.188252 total/0.082221 uk/0.116477 wheat/0.236432 2435/0.232038 3435/0.232038
36	grain	87	adjusted/0.123912 ago/0.052792 arabia/0.088531 authority/0.084432 barley/0.280478 based/0.053459 bring/0.0758 cereals/0.084432 community/0.057221 compared/0.046241 comprised/0.202522 countries/0.100678 country/0.061956 credited/0.113992 cumulative/0.073637 customs/0.084432 destinations/0.177061 ec/0.114442 european/0.055623 excise/0.113992 exported/0.0758 exports/0.163524 february/0.086558 figures/0.141845 followed/0.187629 france/0.078253 germany/0.068353 grown/0.101261 hgca/0.101261 home/0.073637 importer/0.093814 increased/0.058075 issued/0.065522 italy/0.081084 january/0.121176 july/0.065522 korea/0.073637 largest/0.123912 mln/0.032908 nearly/0.078253 new/0.035192 period/0.055623 poland/0.088531 previous/0.052147 prominent/0.113992 quoting/0.113992 recipient/0.113992 respectively/0.061956 reuter/0.000037 said/0.008692 saudi/0.088531 single/0.084432 south/0.056404 soviet/0.136706 taking/0.0758 third/0.166097 tonnes/0.226898 uk/0.114442 union/0.12851 upwards/0.113992 west/0.056404 wheat/0.174226 wheatand/0.113992 year/0.015873 1/0.045787 103700/0.113992 1.25/0.093814 13/0.046241 133265/0.113992 167700/0.113992 1.89/0.101261 233000/0.113992 251000/0.113992 284000/0.113992 2.96/0.113992 2.99/0.101261 336750/0.113992 50000/0.081084 52000/0.113992 535460/0.113992 53800/0.113992 54500/0.113992 55200/0.113992 64000/0.113992 7000/0.113992 75000/0.113992 9/0.084432
38	grain	66	accu/0.222307 added/0.040072 amounts/0.071707 areas/0.143846 cover/0.137727 crops/0.121791 czechoslovakia/0.193624 degrees/0.222307 drop/0.053564 east/0.064376 eastern/0.159351 europe/0.059409 expected/0.038144 f/0.157413 fall/0.043759 flurries/0.096812 forecaster/0.086 inc/0.016794 inch/0.079675 inches/0.096812 last/0.028075 less/0.047904 light/0.194359 lowest/0.068864 making/0.058052 may/0.033747 minus/0.150376 morning/0.066459 near/0.054571 next/0.120467 night/0.128752 nights/0.250255 northern/0.143415 one/0.024518 pct/0.037728 poland/0.150376 possible/0.199377 private/0.050084 remaining/0.056803 reporting/0.071707 reuter/0.000031 romania/0.193624 said/0.007382 says/0.059409 scant/0.096812 snow/0.264676 soviet/0.058052 spotty/0.096812 suffer/0.086 temperatures/0.17801 thewestern/0.096812 tomorrow/0.066459 tonight/0.079675 two/0.076848 union/0.054571 ussr/0.071707 weather/0.150376 western/0.059409 wheat/0.17682 will/0.020767 winter/0.20775 winterkill/0.24977 yesterday/0.049323 0/0.222307 10/0.077021 50/0.090805
50	coffee	68	administration/0.08172 agreement/0.055403 allowing/0.103162 also/0.038301 analyst/0.167032 analysts/0.078509 authority/0.206324 bill/0.189229 coffee/0.2608 coffeeorganization/0.139279 collapse/0.206324 congress/0.199198 convincing/0.123724 customs/0.103162 d/0.085469 earlier/0.055944 eases/0.139279 export/0.114133 failure/0.092615 frank/0.123724 going/0.099071 guarini/0.139279 hard/0.092615 hoped/0.103162 however/0.062954 ico/0.18523 immediate/0.103162 immediately/0.095611 imports/0.12743 international/0.053855 introduced/0.114625 issue/0.07706 lapsed/0.139279 last/0.04039 legislation/0.220933 london/0.083516 means/0.095611 monitor/0.22925 month/0.059495 need/0.167032 needed/0.092615 nj/0.139279 now/0.056498 offered/0.085469 one/0.035273 passed/0.095611 proposed/0.068917 quickly/0.114625 quotas/0.167032 re/0.08172 reach/0.089972 reagan/0.085469 reinstate/0.139279 removes/0.139279 rep/0.123724 resumed/0.139279 reuter/0.000045 said/0.027451 september/0.073204 service/0.083516 supporters/0.139279 talks/0.175678 time/0.060145 trade/0.047777 urgent/0.123724 us/0.090064 yesterday/0.070958 1986/0.027444
55	grain	75	agriculture/0.119431 along/0.088239 areas/0.071304 away/0.102093 belgrade/0.248102 brought/0.078029 catch/0.124051 cause/0.085158 cold/0.096343 concerned/0.076124 conditions/0.170316 contacted/0.110197 counselor/0.124051 crop/0.132562 damage/0.085158 dated/0.124051 delayed/0.102093 department/0.051347 dormancy/0.124051 dry/0.096343 due/0.051347 early/0.110832 emerged/0.124051 evidence/0.248102 fall/0.112143 farmers/0.072785 february/0.047098 field/0.237515 free/0.091883 germination/0.110197 grain/0.072785 growth/0.060531 help/0.065201 however/0.056071 last/0.071948 late/0.13985 line/0.069925 little/0.085158 maribor/0.124051 month/0.05299 near/0.069925 next/0.059715 northwest/0.102093 officials/0.065201 optimistic/0.096343 past/0.080135 promoted/0.110197 protection/0.102093 report/0.174531 reuter/0.00004 running/0.091883 s/0.042336 said/0.033909 seeding/0.248102 situation/0.072785 snow/0.102093 taken/0.076124 temperatures/0.228095 three/0.040927 travel/0.124051 trip/0.110197 us/0.031032 usda/0.066281 warm/0.220394 way/0.072785 weeks/0.082489 wheat/0.16337 will/0.02661 winter/0.16027 winterkill/0.096343 winterkillin/0.124051 yugoslav/0.124051 yugoslavia/0.124051 yugoslavian/0.124051 26/0.068635
77	grain	92	accepted/0.101029 administrator/0.101029 advance/0.143727 agriculture/0.048633 around/0.124065 asked/0.060581 assistant/0.074831 budget/0.061997 bushel/0.156927 cash/0.151697 certificate/0.089747 certificates/0.130527 certs/0.298132 close/0.058071 commodity/0.071864 computer/0.061997 corn/0.121161 county/0.071864 cts/0.052172 decision/0.063548 deficiency/0.149663 deficiencypayments/0.101029 delayed/0.083146 department/0.041818 deputy/0.065263 dlrs/0.027826 due/0.041818 farmers/0.177833 final/0.061997 five/0.034382 garlem/0.261157 generic/0.083146 get/0.065263 got/0.101029 gramm/0.089747 half/0.154414 kind/0.089747 made/0.084503 mailed/0.101029 make/0.04738 management/0.052265 march/0.026732 markedly/0.089747 mid/0.069354 minus/0.078464 mln/0.022566 monday/0.074831 month/0.086312 next/0.048633 office/0.069354 official/0.086312 omb/0.101029 operations/0.040188 payment/0.147209 payments/0.185688 per/0.065662 pik/0.089747 problem/0.063548 producers/0.054911 program/0.056948 proposed/0.04999 ratio/0.21493 receive/0.116143 resisted/0.101029 reuter/0.000033 reuters/0.045665 rudman/0.089747 s/0.034479 said/0.027616 senior/0.065263 sets/0.047995 signup/0.101029 since/0.04738 slightly/0.069354 sorghum/0.074831 state/0.044615 told/0.03735 tom/0.089747 upcoming/0.089747 upset/0.089747 us/0.025273 usda/0.139538 von/0.261157 will/0.082513 11.5/0.083146 15/0.040188 16/0.040188 300/0.156927 50/0.169857 5.5/0.078464 5.75/0.202059 63/0.071864
88	money-fx	41	annual/0.085843 average/0.18539 bank/0.064703 certificates/0.11207 date/0.106461 federal/0.083513 francs/0.23819 give/0.203583 government/0.075752 issue/0.095987 issued/0.09972 january/0.061474 last/0.05031 march/0.045904 market/0.113608 mln/0.03875 money/0.188586 month/0.148215 national/0.085843 new/0.05356 paper/0.23819 payment/0.097791 pct/0.112296 price/0.067083 raised/0.19944 reuter/0.000056 s/0.029604 said/0.013228 series/0.11207 seriesof/0.173487 six/0.130558 swiss/0.398375 yield/0.257 yields/0.154112 159.6/0.173487 177.5/0.154112 3.251/0.173487 3.286/0.346975 5/0.11207 98.392/0.173487 98.401/0.173487
